afkorting,plaatsnaam
AADORP,Aadorp
AAGTKK,Aagtekerke
AALDEN,Aalden
AALSMR,Aalsmeer
AALSMB,Aalsmeerderbrug
AALST,Aalst
AALSUM,Aalsum
AALTEN,Aalten
AARDBG,Aardenburg
AARLVN,Aarlanderveen
AARLRL,Aarle-Rixtel
AARTSW,Aartswoud
ABBEGA,Abbega
ABBKRK,Abbekerk
ABBBRK,Abbenbroek
ABBNES,Abbenes
ABCOUD,Abcoude
ACHLUM,Achlum
ACHTGE,Achterveld GE
ACHTUT,Achterveld UT
ACHTHZ,Achthuizen
ACHTML,Achtmaal
ACQUOY,Acquoy
ADORP,Adorp
ADUARD,Aduard
AERDHT,Aerdenhout
AERDT,Aerdt
AFFDGE,Afferden GE
AFFDLI,Afferden L
AGELO,Agelo
AKERSL,Akersloot
AKKRUM,Akkrum
AKMRP,Akmarijp
ALBRGN,Albergen
ALBLDM,Alblasserdam
ALDLEI,Alde Leie
ALDBRN,Aldeboarn
ALDTSK,Aldtsjerk
ALEM,Alem
ALKMR,Alkmaar
ALLGWR,Allingawier
ALMELO,Almelo
ALMEN,Almen
ALMERE,Almere
ALMKRK,Almkerk
ALPHRN,Alphen aan den Rijn
ALPHGE,Alphen GE
ALPHNB,Alphen NB
ALTVDW,Alteveer De Wolden
ALTVHV,Alteveer gem Hoogeveen
ALTVZW,Alteveer Gem Zuidwolde
ALTVGR,Alteveer GR
ALTVNV,Alteveer Noordenveld
ALTFST,Altforst
AMBTDD,Ambt Delden
AMEIDE,Ameide
AMEN,Amen
AMERCA,America
AMERGN,Amerongen
AMERSF,Amersfoort
AMMSTL,Ammerstol
AMMZDN,Ammerzoden
AMSTHK,Amstelhoek
AMVEEN,Amstelveen
AMSTRD,Amstenrade
AMSDAM,Amsterdam
AMSZO,Amsterdam Zuidoost
AMSDVD,Amsterdam-Duivendrecht
ANDEL,Andel
ANDLST,Andelst
ANDERN,Anderen
ANDIJK,Andijk
ANE,Ane
ANERVN,Anerveen
ANEVLD,Anevelde
ANGERN,Angeren
ANGRLO,Angerlo
ANJUM,Anjum
ANKVN,Ankeveen
ANLOO,Anloo
ANNPWN,Anna Paulowna
ANNEN,Annen
ANNVKL,Annerveenschekanaal
ANSNDW,Ansen
ANSNWV,Ansen Westerveld
APELDN,Apeldoorn
APPSCH,Appelscha
APPTRN,Appeltern
APPDAM,Appingedam
ARCEN,Arcen
ARKEL,Arkel
ARNEMD,Arnemuiden
ARNHEM,Arnhem
ARRIEN,Arrien
ARUM,Arum
ASCH,Asch
ASPERN,Asperen
ASSEN,Assen
ASSDLF,Assendelft
ASTEN,Asten
AUGBRT,Augsbuurt
AUGTSG,Augustinusga
AUSLTZ,Austerlitz
AVENHN,Avenhorn
AXEL,Axel
AZEWN,Azewijn
BAAIDN,Baaiduinen
BAAIUM,Baaium
BAAK,Baak
BAAMBG,Baambrugge
BAARD,Baard
BAARLD,Baarland
BAARNS,Baarle-Nassau
BAARLI,Baarlo LI
BAAROV,Baarlo OV
BAARN,Baarn
BAARS,Baars
BABRCH,Babberich
BABBRK,Babylonienbroek
BADNIE,Bad Nieuweschans
BADHDP,Badhoevedorp
BAEXEM,Baexem
BAFLO,Baflo
BAKEL,Bakel
BAKHZN,Bakhuizen
BAKKVN,Bakkeveen
BALGOJ,Balgoij
BALING,Balinge
BALK,Balk
BALKBG,Balkbrug
BALLVD,Balloerveld
BALLOO,Balloo
BALLUM,Ballum
BANEHD,Baneheide
BANHLT,Banholt
BANT,Bant
BANTGA,Bantega
BARCHM,Barchem
BARDRT,Barendrecht
BARGCO,Barger-Compascuum
BARNVD,Barneveld
BARSHN,Barsingerhorn
BASSE,Basse
BATBRG,Batenburg
BATHMN,Bathmen
BAVELB,Bavel
BAVELA,Bavel AC
BEARS,Bears
BEDUM,Bedum
BEEGDN,Beegden
BEEKDK,Beek en Donk
BEEKLI,Beek LI
BEEKMO,Beek Montferland
BEEKGB,Beek Ubbergen
BEEKBG,Beekbergen
BEEMBR,Beemte Broekland
BEERS,Beers NB
BEERTA,Beerta
BEERZE,Beerze
BEERVD,Beerzerveld
BEESD,Beesd
BEESEL,Beesel
BEETS,Beets
BEETZG,Beetsterzwaag
BEILEN,Beilen
BEINDP,Beinsdorp
BELFLD,Belfeld
BELWLD,Bellingwolde
BELTRM,Beltrum
BELTSS,Belt-Schutsloot
BEMELN,Bemelen
BEMMEL,Bemmel
BENLWN,Beneden-Leeuwen
BENNBK,Bennebroek
BENNKM,Bennekom
BENNVD,Benneveld
BENNIB,Benningbroek
BENSCH,Benschop
BENTLO,Bentelo
BENTHZ,Benthuizen
BENTVD,Bentveld
BERGDL,Berg en Dal
BERGTB,Berg en Terblijt
BERGAB,Bergambacht
BERGEK,Bergeijk
BERGAZ,Bergen aan Zee
BERGLI,Bergen L
BERGNH,Bergen (NH)
BERGZM,Bergen op Zoom
BERGTH,Bergentheim
BERGHN,Bergharen
BERGHM,Berghem
BERGHK,Bergschenhoek
BERING,Beringe
BERKRR,Berkel en Rodenrijs
BERKES,Berkel-Enschot
BERKWD,Berkenwoude
BERKHT,Berkhout
BERLCM,Berlicum
BERLTS,Berltsum
BERN,Bern
BEST,Best
BEUGEN,Beugen
BEUNGE,Beuningen Gld
BEUNOV,Beuningen OV
BEUSCM,Beusichem
BEUTAK,Beutenaken
BEVERW,Beverwijk
BIDDHZ,Biddinghuizen
BIERUM,Bierum
BIERTN,Biervliet
BIERSL,Biervliet Sluis
BIESTH,Biest-Houtakker
BIEZML,Biezenmortel
BIGGKK,Biggekerke
BILTHV,Bilthoven
BINGRD,Bingelrade
BITGUM,Bitgum
BITGMM,Bitgummole
BLADEL,Bladel
BLANKH,Blankenham
BLARCM,Blaricum
BLAUWS,Blauwestad
BLAUWH,Blauwhuis
BLEISW,Bleiswijk
BLESDK,Blesdijke
BLESGF,Bleskensgraaf ca
BLESSM,Blessum
BLIJE,Blije
BLIJHM,Blijham
BLITWK,Blitterswijck
BLOEMD,Bloemendaal
BLOKKR,Blokker
BLOKZL,Blokzijl
BOAZUM,Boazum
BOCHLZ,Bocholtz
BODEGR,Bodegraven
BOEKEL,Boekel
BOELSL,Boelenslaan
BOER,Boer
BOERAL,Boerakker Leek
BOERAM,Boerakker Marum
BOESLD,Boesingheliede
BOIJL,Boijl
BOKSUM,Boksum
BOLSWD,Bolsward
BONTBK,Bontebok
BOORNB,Boornbergum
BOORNZ,Boornzwaag
BORCLO,Borculo
BORGER,Borger
BORGCM,Borgercompagnie Menterw.
BORGCV,Borgercompagnie Veendam
BORGSW,Borgsweer
BORN,Born
BORNE,Borne
BORNBK,Bornerbroek
BORNWD,Bornwird
BORSLE,Borssele
BOSCHD,Bosch en Duin
BOSCHO,Boschoord
BOSKP,Boskoop
BOSSNH,Bosschenhoofd
BOTLEK,Botlek Rotterdam
BOURTG,Bourtange
BOVNKS,Bovenkarspel
BOVLWN,Boven-Leeuwen
BOVSMD,Bovensmilde
BOXMR,Boxmeer
BOXTEL,Boxtel
BRAAMT,Braamt
BRAKEL,Brakel
BRANDW,Brandwijk
BRANTG,Brantgum
BREDA,Breda
BREDVT,Bredevoort
BREEDB,Breedenbroek
BREEZA,Breezand
BREEZD,Breezanddijk
BRESKS,Breskens
BREUKL,Breukelen
BREUKV,Breukeleveen
BRIELL,Brielle
BRILTL,Briltil
BRITSM,Britsum
BRITSW,Britswert
BROEK,Broek
BROEKW,Broek in Waterland
BROEKO,Broek op Langedijk
BROEDR,Broekhuizen Dr
BROELI,Broekhuizen LI
BROEKV,Broekhuizenvorst
BROEKL,Broekland
BROEKS,Broeksterwald
BRONKH,Bronkhorst
BRONNV,Bronneger
BRONNH,Bronnegerveen
BROUWH,Brouwershaven
BRUCHM,Bruchem
BRUCHT,Brucht
BRUCHV,Bruchterveld
BRUINH,Bruinehaar
BRUINN,Bruinisse
BRUMMN,Brummen
BRUNSS,Brunssum
BRUNTG,Bruntinge
BUCHTN,Buchten
BUDEL,Budel
BUDELD,Budel-Dorplein
BUDELS,Budel-Schoot
BUGGNM,Buggenum
BUINEN,Buinen
BUINVN,Buinerveen
BUITKG,Buitenkaag
BUITPT,Buitenpost
BUNDE,Bunde
BUNNE,Bunne
BUNNIK,Bunnik
BUNSPK,Bunschoten-Spakenburg
BURDRD,Burdaard
BURNFR,Buren Ameland
BURNGE,Buren GE
BURGBG,Burgerbrug
BURGVN,Burgerveen
BURGHH,Burgh-Haamstede
BURGUM,Burgum
BURGWD,Burgwerd
BURUM,Burum
BUSSUM,Bussum
BUURBR,Buurmalsen Buren
BUURGM,Buurmalsen Geldermalsen
CADKR,Cadier en Keer
CADZND,Cadzand
CALLTO,Callantsoog
CAPIJS,Capelle aan den IJssel
CASTLR,Castelre
CASTRY,Castenray
CASTRN,Casteren
CASTRC,Castricum
CHAAM,Chaam
CLINGE,Clinge
COEVDN,Coevorden
COLPLT,Colijnsplaat
COLLDN,Collendoorn
COLMST,Colmschate
CORNWD,Cornwerd
COTHEN,Cothen
CREIL,Creil
CROMVT,Cromvoirt
CRUQS,Cruquius
CUIJK,Cuijk
CULMBG,Culemborg
DAARLE,Daarle
DAARLV,Daarlerveen
DALEM,Dalem
DALEN,Dalen
DALERP,Dalerpeel
DALERV,Dalerveen
DALFSN,Dalfsen
DALMSH,Dalmsholte
DAMWLD,Damwald
DARP,Darp
DEBILT,De Bilt
DEBLES,De Blesse
DEBULT,De Bult
DECOCK,De Cocksdorp
DEFALM,De Falom
DEGLIN,De Glind
DEGOOR,De Goorn
DEGROE,De Groeve
DEHEEN,De Heen
DEHEUR,De Heurne
DEHOEF,de Hoef
DEHVE,De Hoeve
DEKIEL,De Kiel
DEKLOM,De Klomp
DEKNIP,De Knipe
DEKOOG,De Koog
DEKRIM,De Krim
DEKWAK,De Kwakel
DELIER,De Lier
DELUTT,de Lutte
DEMEER,De Meern
DEMOER,De Moer
DEMORT,De Mortel
DEPOL,De Pol
DEPUNT,De Punt
DERIJP,De Rijp
DERIPS,De Rips
DESCHI,De Schiphorst
DESTEE,De Steeg
DETIKE,De Tike
DEVEEN,De Veenhoop
DEWAAL,De Waal
DEWEER,De Weere
DEWEST,De Westereen
DEWIJK,de Wijk
DEWILG,De Wilgen
DEWILP,De Wilp
DEWOUD,de Woude
DEZILK,De Zilk
DEARSM,Dearsum
DEDEMV,Dedemsvaart
DEDGUM,Dedgum
DEELEN,Deelen
DEEST,Deest
DEIL,Deil
DEINUM,Deinum
DELDEN,Delden
DELFGW,Delfgauw
DELFHZ,Delfstrahuizen
DELFT,Delft
DELFZL,Delfzijl
DELWNN,Delwijnen
DEMEN,Demen
DENAND,Den Andel
DENBOM,Den Bommel
DENBUG,Den Burg
DENDOL,Den Dolder
DENDUN,Den Dungen
DENHGR,Den Ham GR
DENHOV,Den Ham OV
DENHEL,Den Helder
DENHNH,Den Hoorn
DENHZH,Den Hoorn ZH
DENHOR,Den Horn
DENHOU,Den Hout
DENILP,Den Ilp
DENOEV,Den Oever
DENVEL,Den Velde
DENEKP,Denekamp
DEURNE,Deurne
DEURDI,Deurningen Dinkelland
DEUROL,Deurningen Oldenzaal
DEURSD,Deursen-Dennenburg
DEURZE,Deurze
DEVENT,Deventer
DIDAM,Didam
DIEDEN,Dieden
DIEMEN,Diemen
DIEPHM,Diepenheim
DIEPVN,Diepenveen
DIEREN,Dieren
DIESSN,Diessen
DIEVER,Diever
DIEVBG,Dieverbrug
DIFFLN,Diffelen
DIJKEN,Dijken
DINTLD,Dinteloord
DINXPL,Dinxperlo
DIPSHN,Diphoorn
DIRKHN,Dirkshorn
DIRKLD,Dirksland
DODEWD,Dodewaard
DOENRD,Doenrade
DOESBG,Doesburg
DOETCH,Doetinchem
DOEVRN,Doeveren
DOEZUM,Doezum
DOKKUM,Dokkum
DOLDSM,Doldersum
DOMBRG,Domburg
DONDRN,Donderen
DONGEN,Dongen
DONGJM,Dongjum
DONIAG,Doniaga
DONKBR,Donkerbroek
DOORN,Doorn
DOORNB,Doornenburg
DOORNS,Doornspijk
DOORWT,Doorwerth
DORDRT,Dordrecht
DORST,Dorst
DRACHT,Drachten
DRACHA,Drachten-Azeven
DRACHC,Drachtstercompagnie
DREISR,Dreischor
DREMPT,Drempt
DREUML,Dreumel
DRIERB,Driebergen-Rijsenburg
DRIEBG,Drieborg
DRIEBN,Driebruggen
DRIEHS,Driehuis NH
DRIEHZ,Driehuizen
DRIEL,Driel
DRIEWG,Driewegen
DRIEZM,Driezum
DRIJBR,Drijber
DRIMML,Drimmelen
DROGEH,Drogeham
DROGTO,Drogteropslagen
DRONGL,Drongelen
DRONRP,Dronryp
DRONTN,Dronten
DROUWN,Drouwen
DROUMD,Drouwenermond
DROUVN,Drouwenerveen
DRUNEN,Drunen
DRUTEN,Druten
DUIVEN,Duiven
DUIVDT,Duivendrecht
DUIZEL,Duizel
DUSSEN,Dussen
DWINGL,Dwingeloo
EAGUM,Eagum
EARNWD,Earnewald
EASTRN,Easterein
EASTLT,Easterlittens
EASTMR,Eastermar
EASTWR,Easterwierrum
ECHT,Echt
ECHTLD,Echteld
ECHNDR,Echten Dr
ECHNFR,Echten Fr
ECHTBG,Echtenerbrug
ECKWL,Eck en Wiel
ECKLRD,Eckelrade
EDAM,Edam
EDE,Ede
EDERVN,Ederveen
EE,Ee
EEDE,Eede
EEFDE,Eefde
EELDE,Eelde
EELDWL,Eelderwolde
EEMDK,Eemdijk
EEMNES,Eemnes
EEMSHV,Eemshaven
EEN,Een
EENRUM,Eenrum
EENUM,Eenum
EENWST,Een-West
EERBK,Eerbeek
EERSEL,Eersel
EES,Ees
EESGRN,Eesergroen
EESRVN,Eeserveen
EESTGA,Eesterga
EESVN,Eesveen
EETHEN,Eethen
EEXT,Eext
EEXTVN,Eexterveen
EEXTVK,Eexterveenschekanaal
EEXTZV,Eexterzandvoort
EGCHEL,Egchel
EGMONH,Egmond aan den Hoef
EGMONZ,Egmond aan Zee
EGMONB,Egmond-Binnen
EIBERG,Eibergen
EIJSDN,Eijsden
EINDHV,Eindhoven
EINIGH,Einighausen
EKEHR,Ekehaar
ELAHZN,Elahuizen
ELBURG,Elburg
ELDERL,Eldersloo
ELEVLD,Eleveld
ELIM,Elim
ELKENR,Elkenrade
ELL,Ell
ELLECM,Ellecom
ELLEMT,Ellemeet
ELLEHR,Ellertshaar
ELLEWD,Ellewoutsdijk
ELP,Elp
ELSEND,Elsendorp
ELSHT,Elshout
ELSLFR,Elsloo Fr
ELSLLI,Elsloo LI
ELSPT,Elspeet
ELSTGE,Elst GE
ELSTUT,Elst Ut
EMMELD,Emmeloord
EMMEN,Emmen
EMMERC,Emmer-Compascuum
EMPE,Empe
EMST,Emst
ENGWRM,Engwierum
ENKHZN,Enkhuizen
ENS,Ens
ENSCHD,Enschede
